MsgID.GLOBAL_POSITION,1524016597.5732214,-122.3957498,37.7932813,0.0820000
MsgID.LOCAL_VELOCITY,1524016597.5732214,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524016597.5732214,-0.0319107,0.1498910,-0.0825000
MsgID.LOCAL_VELOCITY,1524016597.5732214,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524016597.5737224,-122.3957513,37.7932817,0.0820000
MsgID.LOCAL_VELOCITY,1524016597.5737224,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524016597.5737224,0.0046372,0.0161740,-0.0825191
MsgID.LOCAL_VELOCITY,1524016597.5737224,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1524016597.5737224,False,False
MsgID.GLOBAL_HOME,1524016597.5742238,-122.3957514,37.7932816,0.0000000
MsgID.GLOBAL_POSITION,1524016597.5742238,-122.3957517,37.7932808,0.0830000
MsgID.LOCAL_VELOCITY,1524016597.5742238,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524016597.5747252,-0.0886566,-0.0276499,-0.0831532
MsgID.LOCAL_VELOCITY,1524016597.5747252,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524016597.5747252,-122.3957515,37.7932805,0.0860000
MsgID.LOCAL_VELOCITY,1524016597.5747252,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524016597.5747252,-0.1220678,-0.0024421,-0.0861498
MsgID.LOCAL_VELOCITY,1524016597.5747252,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524016597.5747252,-122.3957514,37.7932819,0.0930000
MsgID.LOCAL_VELOCITY,1524016597.5747252,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524016597.5752263,0.0308694,0.0067366,-0.0935344
MsgID.LOCAL_VELOCITY,1524016597.5752263,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524016597.5752263,-122.3957499,37.7932818,0.1060000
MsgID.LOCAL_VELOCITY,1524016597.5752263,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524016597.5752263,0.0145454,0.1387462,-0.1066500
